technology,project,country,year,capacity_mw,energy_mwh,metric,value,unit,currency,currency_year,point_type,source,url,note
nuclear-large,Vogtle 3&4,USA,2024,2234,,capex_per_kw,15667,USD/kW,USD,2024,final_cost,"AP, 'Georgia's second new nuclear reactor comes online', 30 Apr 2024",https://www.foxnews.com/us/georgias-second-new-nuclear-reactor-comes-online-most-expensive-power-plant-ever-built-around-35b.print,"owners' cost ~$31bn + $3.7bn Westinghouse settlement = ~$35bn incl. financing (nominal mixed-year $); 35.0e9/2.234e6 kW = 15,667"
nuclear-large,Vogtle 3&4 (overnight),USA,2024,2234,,capex_per_kw,15000,USD/kW,USD,2024,final_cost,DOE Pathways to Commercial Liftoff: Advanced Nuclear (Sep 2024 update),https://gain.inl.gov/content/uploads/4/2024/11/DOE-Advanced-Nuclear-Liftoff-Report.pdf,"DOE: overnight capital cost ~$11,000/kW in nominal $, ~$15,000/kW in 2024$; excludes financing"
nuclear-large,DOE Liftoff next two-unit AP1000,USA,2024,2200,,capex_per_kw,8300,USD/kW,USD,2024,estimate,DOE Pathways to Commercial Liftoff: Advanced Nuclear (Sep 2024 update),https://gain.inl.gov/content/uploads/4/2024/11/DOE-Advanced-Nuclear-Liftoff-Report.pdf,"expected overnight cost of the next two-unit AP1000 site (2024$, excl. financing); NOAK ~$4,700/kW"
nuclear-large,DOE Liftoff NOAK AP1000,USA,2024,2200,,capex_per_kw,4700,USD/kW,USD,2024,estimate,DOE Pathways to Commercial Liftoff: Advanced Nuclear (Sep 2024 update),https://gain.inl.gov/content/uploads/4/2024/11/DOE-Advanced-Nuclear-Liftoff-Report.pdf,NOAK overnight cost after 5-10 reactors of one design (2024$)
nuclear-large,Hinkley Point C,UK,2030,3260,,capex_per_kw,10736,GBP/kW,GBP,2015,estimate,EDF statement 20 Feb 2026 via IWR / renewable-energy-industry.com (24 Feb 2026),https://www.renewable-energy-industry.com/countries/article-7249-british-nuclear-power-plant-hinkley-point-c-faces-further-delays-and-rising-costs-nuclear-power-costs-at-least-15-cents-per-kilowatt-hour,"£35bn in 2015 prices (~£48bn current); 35e9/3.26e6 = 10,736; excludes financing; Jan 2024 range was £31-34bn (WNN)"
nuclear-large,Sizewell C,UK,2035,3200,,capex_per_kw,11875,GBP/kW,GBP,2024,estimate,"World Nuclear News, 'Sizewell C gets final go-ahead decision', 22 Jul 2025",https://www.world-nuclear-news.org/articles/sizewell-c-gets-final-go-ahead-decision,"FID capital cost ~£38bn (2024 prices), 2 EPR 3.2 GW; 38e9/3.2e6 = 11,875; excludes financing (RAB model)"
nuclear-large,Flamanville 3,France,2024,1650,,capex_per_kw,14364,EUR/kW,EUR,2023,final_cost,"Cour des comptes via AFP / Connaissance des Energies, 14 Jan 2025",https://www.connaissancedesenergies.org/afp/programme-depr-la-cour-des-comptes-publie-un-rapport-critique-et-recalcule-le-cout-de-flamanville-3-250114,"€23.7bn in 2023 euros incl. financing (€20.4bn in 2015 euros); 23.7e9/1.65e6 = 14,364; grid connection Dec 2024"
nuclear-large,Olkiluoto 3,Finland,2023,1600,,capex_per_kw,6875,EUR/kW,EUR,2022,final_cost,"Yle, 12 Mar 2022; COD per GRS",https://yle.fi/a/3-12356596,"'close to €11bn' total (nominal, incl. settlements; financing unspecified); 11e9/1.6e6 = 6,875; commercial operation Apr 2023"
nuclear-large,Barakah 1-4,UAE,2024,5600,,capex_per_kw,4357,USD/kW,USD,2016,final_cost,"ENEC press release, financial close, 20 Oct 2016",https://www.enec.ae/news/latest-news/enec-and-kepco-announce-financial-close-for-barakah-nuclear-energy-plant/,"financing package $24.4bn (loans + equity) incl. financing; 24.4e9/5.6e6 = 4,357; KEPCO EPC contract $19.1bn -> 3,411; unit 4 commercial Sep 2024"
nuclear-large,Saeul 3&4 (APR1400),South Korea,2026,2800,,capex_per_kw,2714,USD/kW,USD,2014,estimate,"World Nuclear Association, South Korea country profile",https://world-nuclear.org/information-library/country-profiles/countries-o-s/south-korea,"KRW 8.63tn (~$7.6bn) at approval; 7.6e9/2.8e6 = 2,714; excludes financing"
nuclear-large,Hualong One series (CGN),China,2015,1150,,capex_per_kw,2650,USD/kW,USD,2015,estimate,"World Nuclear Association, China country profile",https://world-nuclear.org/information-library/country-profiles/countries-a-f/china-nuclear-power,"CGN 2015: series construction cost CNY 17,000/kWe (~$2,650/kWe); recent estimates ~$3,500/kW"
nuclear-large,EIA AEO2025 2xAP1000,USA,2023,2156,,capex_per_kw,7861,USD/kW,USD,2023,estimate,"EIA / Sargent & Lundy, Capital Cost and Performance Characteristics for Utility-Scale Electric Power Generating Technologies (AEO2025, Dec 2023)",https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2025.pdf,"Table 1-2 case 9, overnight 2023$"
nuclear-large,EIA AEO2025 2xAP1000,USA,2023,2156,,fom,156.2,USD/kW-yr,USD,2023,estimate,"EIA / Sargent & Lundy, Capital Cost and Performance Characteristics for Utility-Scale Electric Power Generating Technologies (AEO2025, Dec 2023)",https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2025.pdf,Table 1-2 case 9
nuclear-large,EIA AEO2025 2xAP1000,USA,2023,2156,,vom,2.52,USD/MWh,USD,2023,estimate,"EIA / Sargent & Lundy, Capital Cost and Performance Characteristics for Utility-Scale Electric Power Generating Technologies (AEO2025, Dec 2023)",https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2025.pdf,Table 1-2 case 9
nuclear-large,IEA/NEA Projected Costs 2020,OECD,2020,,,capex_per_kw,2157,USD/kW,USD,2018,benchmark_range_low,"IEA/NEA Projected Costs of Generating Electricity 2020, via World Nuclear Association economics page",https://world-nuclear.org/information-library/economic-aspects/economics-of-nuclear-power,"overnight cost range South Korea $2,157/kWe ... Slovakia $6,920/kWe (2018 USD)"
nuclear-large,IEA/NEA Projected Costs 2020,OECD,2020,,,capex_per_kw,6920,USD/kW,USD,2018,benchmark_range_high,"IEA/NEA Projected Costs of Generating Electricity 2020, via World Nuclear Association economics page",https://world-nuclear.org/information-library/economic-aspects/economics-of-nuclear-power,high end (Slovakia)
nuclear-large,"IEA/NEA Projected Costs 2020 (USA, 7%)",USA,2020,,,lcoe,71.3,USD/MWh,USD,2018,estimate,"IEA/NEA Projected Costs of Generating Electricity 2020, via World Nuclear Association economics page",https://world-nuclear.org/information-library/economic-aspects/economics-of-nuclear-power,"nuclear LCOE USA at 7% discount rate, 85% CF (2018 USD); Korea 53.3, France 71.1"
nuclear-large,Lazard LCOE+ 2025,USA,2025,2200,,lcoe,141,USD/MWh,USD,2025,benchmark_range_low,Lazard LCOE+ June 2025,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,unsubsidised; nuclear reflects v14.0 adjusted for inflation on then-estimated Vogtle costs
nuclear-large,Lazard LCOE+ 2025,USA,2025,2200,,lcoe,220,USD/MWh,USD,2025,benchmark_range_high,Lazard LCOE+ June 2025,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
nuclear-large,Lazard LCOE+ 2025,USA,2025,2200,,capex_per_kw,9020,USD/kW,USD,2025,benchmark_range_low,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,"total capital cost $9,020-14,820/kW excl. financing"
nuclear-large,Lazard LCOE+ 2025,USA,2025,2200,,capex_per_kw,14820,USD/kW,USD,2025,benchmark_range_high,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
nuclear-large,Lazard LCOE+ 2025,USA,2025,2200,,fom,136,USD/kW-yr,USD,2025,benchmark_range_low,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,FOM $136-158/kW-yr
nuclear-large,Lazard LCOE+ 2025,USA,2025,2200,,fom,158,USD/kW-yr,USD,2025,benchmark_range_high,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
nuclear-large,Lazard LCOE+ 2025,USA,2025,2200,,vom,4.4,USD/MWh,USD,2025,benchmark_range_low,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,VOM $4.40-5.15/MWh
nuclear-large,Lazard LCOE+ 2025,USA,2025,2200,,vom,5.15,USD/MWh,USD,2025,benchmark_range_high,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
smr-nuclear,NuScale UAMPS CFPP (VOYGR-6),USA,2030,462,,capex_per_kw,20130,USD/kW,USD,2023,estimate,"NRECA advisory, Dec 2023; POWER, 2 Mar 2023",https://www.cooperative.com/programs-services/bts/documents/advisories/advisory-nuscale-and-uamps-end-smr-project-cfpp-dec-2023.pdf,"Jan 2023 revised budget $9.3bn incl. owner's costs and financing assumptions; 9.3e9/462e3 = 20,130; 6x77 MWe; cancelled Nov 2023"
smr-nuclear,NuScale UAMPS CFPP (VOYGR-6),USA,2030,462,,lcoe,89,USD/MWh,USD,2022,ppa_price,"NuScale 8-K press release, 9 Jan 2023",https://www.sec.gov/Archives/edgar/data/1822966/000182296623000008/pressreleasenuscalereach.htm,"updated target price $89/MWh (July 2022 $), net of DOE cost share and IRA credits; project cancelled Nov 2023"
smr-nuclear,OPG Darlington BWRX-300 (4 units),Canada,2030,1200,,capex_per_kw,17417,CAD/kW,CAD,2024,estimate,"World Nuclear News, 'What is the budget for Canada's first SMR project?', May 2025",https://www.world-nuclear-news.org/articles/what-is-the-budget-for-canadas-first-smr-project,"C$20.9bn for 4x300 MW incl. licensing, engineering, construction, contingency, interest and escalation; 20.9e9/1.2e6 = 17,417; first unit C$6.1bn (20,333 C$/kW), fourth C$4.1bn (13,667)"
smr-nuclear,OPG Darlington BWRX-300 (4 units),Canada,2030,1200,,lcoe,149,CAD/MWh,CAD,2024,estimate,"World Nuclear News, May 2025",https://www.world-nuclear-news.org/articles/what-is-the-budget-for-canadas-first-smr-project,OPG projected cost ~14.9 c/kWh over 60-year life
smr-nuclear,TerraPower Natrium Kemmerer 1,USA,2031,345,,capex_per_kw,11594,USD/kW,USD,2025,estimate,"POWER, 'TerraPower's Kemmerer 1 enters construction', 23 Apr 2026",https://www.powermag.com/terrapowers-kemmerer-1-enters-construction-timeline-of-the-natrium-projects-road-to-first-power/,"all-in ~$4bn (50% DOE ARDP); 4.0e9/345e3 = 11,594 on base output (8,000 on 500 MWe peak); price year taken as 2025 (2026 index not in table)"
smr-nuclear,Rolls-Royce SMR (vendor NOAK claim),UK,2030,470,,capex_per_kw,3830,GBP/kW,GBP,2021,estimate,"World Nuclear News, 11 Feb 2021",https://world-nuclear-news.org/Articles/Rolls-Royce-on-track-for-2030-delivery-of-UK-SMR,"vendor claim £1.8bn per 470 MW unit; 1.8e9/470e3 = 3,830; UK govt 2025 award £2.5bn for the first unit -> 5,319 £/kW"
